to,month,num_flights
AAC,1,33
AAC,2,29
AAC,3,41
AAC,4,29
AAC,5,29
AAC,6,36
AAC,7,37
AAC,8,36
AAC,9,29
AAC,10,36
AAC,11,25
AAC,12,35
AAE,1,16
AAE,2,21
AAE,3,19
AAE,4,15
AAE,5,10
AAE,6,18
AAE,7,12
AAE,8,19
AAE,9,13
AAE,10,8
AAE,11,20
AAE,12,15
ABJ,1,16
ABJ,2,9
ABJ,3,24
ABJ,4,14
ABJ,5,13
ABJ,6,12
ABJ,7,14
ABJ,8,23
ABJ,9,11
ABJ,10,21
ABJ,11,12
ABJ,12,14
ABS,1,25
ABS,2,17
ABS,3,15
ABS,4,20
ABS,5,15
ABS,6,20
ABS,7,14
ABS,8,19
ABS,9,21
ABS,10,15
ABS,11,17
ABS,12,17
ABV,1,17
ABV,2,14
ABV,3,14
ABV,4,32
ABV,5,16
ABV,6,14
ABV,7,15
ABV,8,20
ABV,9,14
ABV,10,19
ABV,11,18
ABV,12,8
ACC,1,27
ACC,2,15
ACC,3,25
ACC,4,10
ACC,5,12
ACC,6,22
ACC,7,16
ACC,8,12
ACC,9,14
ACC,10,19
ACC,11,12
ACC,12,19
ADD,1,16
ADD,2,18
ADD,3,19
ADD,4,18
ADD,5,18
ADD,6,15
ADD,7,16
ADD,8,9
ADD,9,17
ADD,10,14
ADD,11,15
ADD,12,20
ADX,1,17
ADX,2,18
ADX,3,12
ADX,4,20
ADX,5,9
ADX,6,20
ADX,7,16
ADX,8,16
ADX,9,20
ADX,10,17
ADX,11,14
ADX,12,12
ADY,1,10
ADY,2,21
ADY,3,20
ADY,4,13
ADY,5,7
ADY,6,12
ADY,7,21
ADY,8,24
ADY,9,13
ADY,10,18
ADY,11,7
ADY,12,22
AEH,1,17
AEH,2,26
AEH,3,17
AEH,4,21
AEH,5,12
AEH,6,15
AEH,7,12
AEH,8,19
AEH,9,20
AEH,10,13
AEH,11,17
AEH,12,10
AER,1,18
AER,2,21
AER,3,19
AER,4,20
AER,5,21
AER,6,15
AER,7,16
AER,8,12
AER,9,15
AER,10,24
AER,11,18
AER,12,21
AGA,1,27
AGA,2,18
AGA,3,12
AGA,4,15
AGA,5,13
AGA,6,10
AGA,7,16
AGA,8,16
AGA,9,21
AGA,10,18
AGA,11,12
AGA,12,11
AGZ,1,14
AGZ,2,17
AGZ,3,13
AGZ,4,23
AGZ,5,13
AGZ,6,9
AGZ,7,18
AGZ,8,12
AGZ,9,12
AGZ,10,12
AGZ,11,21
AGZ,12,13
AHU,1,12
AHU,2,13
AHU,3,17
AHU,4,17
AHU,5,16
AHU,6,9
AHU,7,17
AHU,8,15
AHU,9,15
AHU,10,13
AHU,11,13
AHU,12,17
AJN,1,12
AJN,2,17
AJN,3,15
AJN,4,17
AJN,5,14
AJN,6,19
AJN,7,25
AJN,8,17
AJN,9,24
AJN,10,19
AJN,11,12
AJN,12,15
AJY,1,21
AJY,2,17
AJY,3,16
AJY,4,17
AJY,5,19
