to,month,num_flights
AAC,1,5
AAC,2,11
AAC,3,15
AAC,4,7
AAC,5,10
AAC,6,13
AAC,7,12
AAC,8,9
AAC,9,11
AAC,10,9
AAC,11,8
AAC,12,8
AAE,1,3
AAE,2,8
AAE,3,5
AAE,4,4
AAE,5,2
AAE,6,5
AAE,7,4
AAE,8,5
AAE,9,6
AAE,10,4
AAE,11,6
AAE,12,5
ABJ,1,6
ABJ,2,3
ABJ,3,10
ABJ,4,8
ABJ,5,4
ABJ,6,5
ABJ,7,1
ABJ,8,5
ABJ,9,3
ABJ,10,6
ABJ,11,7
ABJ,12,1
ABS,1,8
ABS,2,2
ABS,3,2
ABS,4,8
ABS,5,3
ABS,6,2
ABS,7,3
ABS,8,5
ABS,9,7
ABS,10,5
ABS,11,6
ABS,12,4
ABV,1,9
ABV,2,6
ABV,3,6
ABV,4,10
ABV,5,2
ABV,6,3
ABV,7,2
ABV,8,4
ABV,9,4
ABV,10,3
ABV,11,8
ABV,12,2
ACC,1,5
ACC,2,5
ACC,3,8
ACC,4,1
ACC,5,5
ACC,6,9
ACC,7,2
ACC,8,3
ACC,9,5
ACC,10,4
ACC,11,3
ACC,12,7
ADD,1,3
ADD,2,1
ADD,3,6
ADD,4,4
ADD,5,5
ADD,6,4
ADD,7,3
ADD,8,2
ADD,9,5
ADD,10,5
ADD,11,5
ADD,12,6
ADX,1,3
ADX,2,5
ADX,3,3
ADX,4,5
ADX,5,2
ADX,6,7
ADX,7,1
ADX,8,2
ADX,9,10
ADX,10,8
ADX,11,6
ADX,12,0
ADY,1,3
ADY,2,6
ADY,3,7
ADY,4,3
ADY,5,3
ADY,6,3
ADY,7,6
ADY,8,7
ADY,9,5
ADY,10,8
ADY,11,2
ADY,12,8
AEH,1,4
AEH,2,9
AEH,3,7
AEH,4,4
AEH,5,2
AEH,6,5
AEH,7,3
AEH,8,3
AEH,9,3
AEH,10,4
AEH,11,3
AEH,12,4
AER,1,4
AER,2,4
AER,3,6
AER,4,4
AER,5,4
AER,6,5
AER,7,5
AER,8,3
AER,9,4
AER,10,8
AER,11,2
AER,12,7
AGA,1,9
AGA,2,3
AGA,3,4
AGA,4,5
AGA,5,5
AGA,6,1
AGA,7,5
AGA,8,3
AGA,9,7
AGA,10,7
AGA,11,3
AGA,12,1
AGZ,1,2
AGZ,2,3
AGZ,3,4
AGZ,4,5
AGZ,5,3
AGZ,6,3
AGZ,7,5
AGZ,8,4
AGZ,9,5
AGZ,10,2
AGZ,11,5
AGZ,12,3
AHU,1,3
AHU,2,2
AHU,3,6
AHU,4,5
AHU,5,5
AHU,6,2
AHU,7,6
AHU,8,3
AHU,9,3
AHU,10,1
AHU,11,5
AHU,12,4
AJN,1,3
AJN,2,2
AJN,3,5
AJN,4,6
AJN,5,5
AJN,6,4
AJN,7,6
AJN,8,6
AJN,9,3
AJN,10,4
AJN,11,3
AJN,12,3
AJY,1,4
AJY,2,6
AJY,3,7
AJY,4,6
AJY,5,3
AJY,6,5
AJY,7,4
AJY,8,6
AJY,9,7
AJY,10,4
AJY,11,3
AJY,12,5
ALA,1,6
ALA,2,6
ALA,3,8
ALA,4,1
ALA,5,10
ALA,6,4
ALA,7,3
ALA,8,4
ALA,9,6
ALA,10,6
ALA,11,3
ALA,12,4
ALG,1,6
ALG,2,6
ALG,3,2
ALG,4,2
ALG,5,8
ALG,6,3
ALG,7,5
ALG,8,2
ALG,9,5
ALG,10,5
ALG,11,4
ALG,12,8
ALJ,1,4
ALJ,2,3
ALJ,3,6
ALJ,4,2
