ID,airline,connection,wait
1,ANA,True,612
2,ANA,True,458
3,ANA,True,71
4,ANA,True,330
5,ANA,True,539
6,ANA,True,418
7,ANA,True,374
8,ANA,True,594
9,ANA,True,68
10,ANA,True,452
11,ANA,True,164
12,ANA,True,68
13,ANA,True,692
14,ANA,True,100
15,ANA,True,306
16,ANA,True,557
17,ANA,True,286
18,ANA,True,621
19,ANA,True,87
20,ANA,True,345
21,ANA,True,439
22,ANA,True,572
23,ANA,True,510
24,ANA,True,698
25,ANA,True,202
26,ANA,True,234
27,ANA,True,225
28,ANA,True,675
29,ANA,True,299
30,ANA,True,332
31,ANA,True,433
32,ANA,True,464
33,ANA,True,210
34,ANA,True,284
35,ANA,True,656
36,ANA,True,611
37,ANA,True,100
38,ANA,True,340
39,ANA,True,371
40,ANA,True,678
41,ANA,True,581
42,ANA,True,523
43,ANA,True,432
44,ANA,True,403
45,ANA,True,69
46,ANA,True,305
47,ANA,True,133
48,ANA,True,484
49,ANA,True,419
50,ANA,True,160
51,ANA,True,77
52,ANA,True,142
53,ANA,True,32
54,ANA,True,252
55,ANA,True,716
56,ANA,True,116
57,ANA,True,199
58,ANA,True,473
59,ANA,True,570
60,ANA,True,577
61,ANA,True,471
62,ANA,True,113
63,ANA,True,154
64,ANA,True,667
65,ANA,True,200
66,ANA,True,51
67,ANA,True,491
68,ANA,True,600
69,ANA,True,114
70,ANA,True,124
71,ANA,True,633
72,ANA,True,395
73,ANA,True,682
74,ANA,True,272
75,ANA,True,137
76,ANA,True,198
77,ANA,True,564
78,ANA,True,673
79,ANA,True,607
80,ANA,True,169
81,ANA,True,476
82,ANA,True,337
83,ANA,True,499
84,ANA,True,291
85,ANA,True,535
86,ANA,True,253
87,ANA,True,405
88,ANA,True,552
89,ANA,True,617
90,ANA,True,488
91,ANA,True,304
92,ANA,True,516
93,ANA,True,374
94,ANA,True,457
95,ANA,True,65
96,ANA,True,669
97,ANA,True,285
98,ANA,True,683
99,ANA,True,371
100,ANA,True,608
101,ANA,True,334
102,ANA,True,49
103,ANA,True,117
104,ANA,True,36
105,ANA,True,291
106,ANA,True,140
107,ANA,True,640
108,ANA,True,294
109,ANA,True,181
110,ANA,True,423
111,ANA,True,34
112,ANA,True,361
113,ANA,True,237
114,ANA,True,613
115,ANA,True,190
116,ANA,True,374
117,ANA,True,525
118,ANA,True,596
119,ANA,True,78
120,ANA,True,198
121,ANA,True,136
122,ANA,True,583
123,ANA,True,362
124,ANA,True,497
125,ANA,True,618
126,ANA,True,253
127,ANA,True,120
128,ANA,True,609
129,ANA,True,678
130,ANA,True,170
131,ANA,True,577
132,ANA,True,133
133,ANA,True,515
134,ANA,True,216
135,ANA,True,445
136,ANA,True,309
137,ANA,True,160
138,ANA,True,240
139,ANA,True,180
140,ANA,True,541
141,ANA,True,85
142,ANA,True,393
143,ANA,True,493
144,ANA,True,548
145,ANA,True,102
146,ANA,True,301
147,ANA,True,622
148,ANA,True,586
149,ANA,True,412
150,ANA,True,417
151,ANA,True,683
152,ANA,True,64
153,ANA,True,584
154,ANA,True,205
155,ANA,True,550
156,ANA,True,564
157,ANA,True,345
158,ANA,True,242
159,ANA,True,515
160,ANA,True,628
161,ANA,True,491
162,ANA,True,423
163,ANA,True,419
164,ANA,True,93
165,ANA,True,507
166,ANA,True,390
167,ANA,True,570
168,ANA,True,686
169,ANA,True,425
170,ANA,True,213
171,ANA,True,332
172,ANA,True,448
173,ANA,True,505
174,ANA,True,362
175,ANA,True,418
176,ANA,True,310
177,ANA,True,413
178,ANA,True,417
179,ANA,True,612
180,ANA,True,598
181,ANA,True,685
182,ANA,True,143
183,ANA,True,246
184,ANA,True,445
185,ANA,True,625
186,ANA,True,244
187,ANA,True,43
188,ANA,True,662
189,ANA,True,519
190,ANA,True,679
191,ANA,True,315
192,ANA,True,131
193,ANA,True,45
194,ANA,True,685
195,ANA,True,264
196,Aegean Airlines,True,399
197,Aegean Airlines,True,568
198,Aegean Airlines,True,697
199,Aegean Airlines,True,666
200,Aegean Airlines,True,85
201,Aegean Airlines,True,246
202,Aegean Airlines,True,237
203,Aegean Airlines,True,181
204,Aegean Airlines,True,230
205,Aegean Airlines,True,44
206,Aegean Airlines,True,375
207,Aegean Airlines,True,204
208,Aegean Airlines,True,297
209,Aegean Airlines,True,418
210,Aegean Airlines,True,566
211,Aegean Airlines,True,549
212,Aegean Airlines,True,255
213,Aegean Airlines,True,154
214,Aegean Airlines,True,113
215,Aegean Airlines,True,361
216,Aegean Airlines,True,33
217,Aegean Airlines,True,615
218,Aegean Airlines,True,705
219,Aegean Airlines,True,448
220,Aegean Airlines,True,514
221,Aegean Airlines,True,326
222,Aegean Airlines,True,379
223,Aegean Airlines,True,710
224,Aegean Airlines,True,301
225,Aegean Airlines,True,573
226,Aegean Airlines,True,621
227,Aegean Airlines,True,523
228,Aegean Airlines,True,472
229,Aegean Airlines,True,488
230,Aegean Airlines,True,400
231,Aegean Airlines,True,46
232,Aegean Airlines,True,629
233,Aegean Airlines,True,314
